,Distance,Lattitude,Longtitude,YearBuilt,Landsize,BuildingArea,Rooms,Bedroom2,Bathroom,Price,CouncilArea,Regionname,SellerG,Type,Postcode,zipcode,airbnb_price_mean,airbnb_record_count,airbnb_weekly_price_mean,airbnb_monthly_price_mean,airbnb_number_of_reviews_sum,airbnb_number_of_reviews_mean,airbnb_review_scores_rating_min,airbnb_review_scores_rating_max,airbnb_review_scores_rating_mean
35,2.5,-37.8021,144.9976,1900.0,182.0,82.0,2,2.0,1.0,1012500.0,Yarra,Northern Metropolitan,Nelson,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
36,2.5,-37.8086,144.9946,1930.0,172.0,81.0,2,2.0,1.0,1030000.0,Yarra,Northern Metropolitan,Biggin,h,3067,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,4029.0,15.616279069767442,20.0,100.0,95.28846153846153
37,13.5,-37.718,144.878,2016.0,303.0,225.0,3,3.0,2.0,840000.0,Moonee Valley,Western Metropolitan,Nelson,t,3042,,,,,,,,,,
38,13.5,-37.7203,144.8755,1965.0,0.0,145.0,3,3.0,2.0,730000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
39,13.5,-37.7203,144.8755,1965.0,0.0,145.0,3,3.0,2.0,770000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
40,13.5,-37.7294,144.888,1950.0,272.0,84.0,2,2.0,1.0,603000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
41,13.5,-37.7218,144.8837,2009.0,239.0,134.0,3,3.0,2.0,700000.0,Moonee Valley,Western Metropolitan,Brad,t,3042,,,,,,,,,,
42,13.5,-37.7273,144.8744,1980.0,290.0,116.0,3,2.0,1.0,600000.0,Moonee Valley,Western Metropolitan,Other,h,3042,,,,,,,,,,
43,13.5,-37.7215,144.8864,2011.0,168.0,86.0,2,2.0,1.0,500000.0,Moonee Valley,Western Metropolitan,Barry,u,3042,,,,,,,,,,
44,13.5,-37.7173,144.8872,,620.0,,3,2.0,1.0,720000.0,Moonee Valley,Western Metropolitan,Barry,h,3042,,,,,,,,,,
45,13.5,-37.7259,144.8792,,597.0,127.0,4,3.0,1.0,785000.0,Moonee Valley,Western Metropolitan,Other,h,3042,,,,,,,,,,
46,13.5,-37.7239,144.8735,1980.0,976.0,186.0,6,6.0,3.0,725000.0,Moonee Valley,Western Metropolitan,Barry,h,3042,,,,,,,,,,
47,13.5,-37.7216,144.871,2015.0,110.0,90.0,2,2.0,1.0,450000.0,Moonee Valley,Western Metropolitan,Barry,t,3042,,,,,,,,,,
48,13.5,-37.7298,144.8883,2013.0,141.0,73.0,2,2.0,1.0,515000.0,Moonee Valley,Western Metropolitan,Barry,u,3042,,,,,,,,,,
49,13.5,-37.7234,144.8792,2012.0,120.0,94.0,2,2.0,1.0,530000.0,Moonee Valley,Western Metropolitan,Nelson,u,3042,,,,,,,,,,
50,13.5,-37.7249,144.8728,1975.0,1063.0,133.0,3,3.0,1.0,895000.0,Moonee Valley,Western Metropolitan,Other,h,3042,,,,,,,,,,
51,13.5,-37.7217,144.8783,1950.0,0.0,105.0,3,3.0,1.0,805000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
52,13.5,-37.7302,144.8855,1993.0,265.0,130.0,3,3.0,1.0,752000.0,Moonee Valley,Western Metropolitan,Nelson,u,3042,,,,,,,,,,
53,13.5,-37.7177,144.8787,,192.0,,2,2.0,1.0,440000.0,Moonee Valley,Western Metropolitan,Barry,u,3042,,,,,,,,,,
54,13.5,-37.7248,144.8699,,596.0,,5,3.0,2.0,755000.0,Moonee Valley,Western Metropolitan,Other,h,3042,,,,,,,,,,
55,13.5,-37.727,144.887,2009.0,165.0,133.0,3,3.0,2.0,700000.0,Moonee Valley,Western Metropolitan,Brad,t,3042,,,,,,,,,,
56,13.5,-37.7186,144.876,1960.0,971.0,113.0,3,3.0,1.0,830000.0,Moonee Valley,Western Metropolitan,Barry,h,3042,,,,,,,,,,
57,13.5,-37.7218,144.8863,2003.0,164.0,,2,2.0,1.0,462500.0,Moonee Valley,Western Metropolitan,Barry,u,3042,,,,,,,,,,
58,13.5,-37.7269,144.8742,,657.0,,3,3.0,2.0,670000.0,Moonee Valley,Western Metropolitan,Barry,h,3042,,,,,,,,,,
59,13.5,-37.7187,144.8765,1975.0,612.0,100.0,2,2.0,1.0,675000.0,Moonee Valley,Western Metropolitan,Barry,h,3042,,,,,,,,,,
60,13.5,-37.7173,144.8796,1950.0,612.0,174.0,3,3.0,2.0,1042000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
61,13.5,-37.7231,144.8835,,775.0,,3,3.0,1.0,910000.0,Moonee Valley,Western Metropolitan,Other,h,3042,,,,,,,,,,
62,13.5,-37.7263,144.8679,1980.0,531.0,309.0,4,5.0,3.0,773000.0,Moonee Valley,Western Metropolitan,Brad,h,3042,,,,,,,,,,
63,13.5,-37.7285,144.8694,1980.0,555.0,192.0,3,3.0,3.0,810000.0,Moonee Valley,Western Metropolitan,Barry,h,3042,,,,,,,,,,
64,13.5,-37.7164,144.8792,1995.0,422.0,126.0,3,3.0,2.0,715000.0,Moonee Valley,Western Metropolitan,Other,h,3042,,,,,,,,,,
65,13.5,-37.7194,144.8827,,614.0,,3,3.0,1.0,790000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
66,13.5,-37.7231,144.8802,2010.0,161.0,101.0,3,2.0,2.0,540000.0,Moonee Valley,Western Metropolitan,Nelson,t,3042,,,,,,,,,,
67,13.5,-37.72,144.8776,1960.0,293.0,102.0,3,3.0,2.0,825000.0,Moonee Valley,Western Metropolitan,Barry,t,3042,,,,,,,,,,
68,13.5,-37.7226,144.8733,1975.0,579.0,113.0,3,3.0,1.0,685000.0,Moonee Valley,Western Metropolitan,Barry,h,3042,,,,,,,,,,
69,13.5,-37.7184,144.882,,623.0,,3,3.0,1.0,805000.0,Moonee Valley,Western Metropolitan,Barry,h,3042,,,,,,,,,,
70,13.5,-37.7202,144.8797,,141.0,76.0,2,2.0,1.0,510000.0,Moonee Valley,Western Metropolitan,Nelson,u,3042,,,,,,,,,,
71,13.5,-37.7181,144.8824,,212.0,,3,3.0,2.0,612000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
72,13.5,-37.7169,144.8815,,612.0,,3,3.0,1.0,662000.0,Moonee Valley,Western Metropolitan,Brad,h,3042,,,,,,,,,,
73,13.5,-37.7263,144.869,,532.0,,4,4.0,3.0,978000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
74,13.5,-37.72,144.878,,585.0,,3,3.0,1.0,720000.0,Moonee Valley,Western Metropolitan,Nelson,h,3042,,,,,,,,,,
75,13.5,-37.7261,144.8785,,509.0,,4,4.0,1.0,765000.0,Moonee Valley,Western Metropolitan,Other,h,3042,,,,,,,,,,
76,13.5,-37.7256,144.8739,1975.0,628.0,146.0,4,4.0,2.0,900000.0,Moonee Valley,Western Metropolitan,Other,h,3042,,,,,,,,,,
77,3.3,-37.8459,144.9555,1900.0,120.0,82.0,2,2.0,1.0,1275000.0,Port Phillip,Southern Metropolitan,hockingstuart,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
78,3.3,-37.845,144.9538,,159.0,,2,2.0,1.0,1455000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
79,3.3,-37.8481,144.9499,1890.0,211.0,198.0,3,3.0,2.0,2850000.0,Port Phillip,Southern Metropolitan,Buxton,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
80,3.3,-37.8452,144.9488,1890.0,128.0,133.0,3,3.0,2.0,1850000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
81,3.3,-37.8431,144.9565,1900.0,130.0,81.0,2,2.0,1.0,1436000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
82,3.3,-37.8444,144.9484,1900.0,147.0,,2,1.0,1.0,1110000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
83,3.3,-37.8405,144.9521,,167.0,,2,2.0,1.0,1550000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
84,3.3,-37.8447,144.9523,1880.0,153.0,180.0,4,4.0,2.0,2300000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
85,3.3,-37.8443,144.9598,,718.0,,3,3.0,2.0,1550000.0,Port Phillip,Southern Metropolitan,Marshall,t,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
86,3.3,-37.8415,144.952,1996.0,132.0,159.0,3,3.0,2.0,1800000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
87,3.3,-37.8422,144.9554,1900.0,199.0,107.0,2,2.0,1.0,2120000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
88,3.3,-37.8443,144.9579,,253.0,,3,3.0,1.0,1800000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
89,3.3,-37.8421,144.9571,1900.0,90.0,122.0,3,3.0,2.0,1800000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
90,3.3,-37.8379,144.9539,,240.0,,2,2.0,1.0,1810000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
91,3.3,-37.8415,144.9585,1880.0,177.0,181.0,3,3.0,2.0,2615000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
92,3.3,-37.8436,144.9557,,237.0,,5,5.0,2.0,2100000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
93,3.3,-37.8422,144.94899999999996,,129.0,,3,3.0,1.0,1300000.0,Port Phillip,Southern Metropolitan,hockingstuart,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
94,3.3,-37.8451,144.9511,2000.0,0.0,85.0,3,3.0,2.0,1370000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
95,3.3,-37.8407,144.9523,,288.0,,2,2.0,1.0,1000000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
96,3.3,-37.8445,144.9501,,228.0,,3,3.0,2.0,2575000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
97,3.3,-37.8443,144.9481,1890.0,149.0,98.0,2,2.0,1.0,1322500.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
98,3.3,-37.8424,144.9562,1890.0,141.0,83.0,2,2.0,1.0,1562500.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
99,3.3,-37.847,144.9575,1900.0,211.0,147.0,3,3.0,2.0,2000000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
100,3.3,-37.8468,144.9546,1900.0,209.0,,3,3.0,1.0,1900000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
101,3.3,-37.8473,144.9551,1890.0,147.0,146.0,3,3.0,2.0,3010000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
102,3.3,-37.8467,144.9475,1910.0,327.0,254.0,4,4.0,3.0,2800000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
103,3.3,-37.846,144.9542,,0.0,,2,2.0,1.0,647000.0,Port Phillip,Southern Metropolitan,Other,u,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
104,3.3,-37.8427,144.9546,1900.0,120.0,123.0,3,2.0,1.0,2100000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
105,3.3,-37.8461,144.9528,1890.0,238.0,131.0,3,3.0,1.0,2000000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
106,3.3,-37.8421,144.9517,1970.0,0.0,34.0,1,1.0,1.0,442500.0,Port Phillip,Southern Metropolitan,Marshall,u,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
107,3.3,-37.8477,144.9558,1910.0,330.0,207.0,4,4.0,2.0,4735000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
108,3.3,-37.846,144.9517,,136.0,,2,2.0,1.0,1340000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
109,3.3,-37.8429,144.9493,,202.0,,3,3.0,1.0,1801000.0,Port Phillip,Southern Metropolitan,hockingstuart,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
110,3.3,-37.8415,144.9585,,0.0,,3,3.0,3.0,1532000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
111,3.3,-37.8413,144.95,,325.0,,3,3.0,2.0,3755000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
112,3.3,-37.8434,144.9495,1880.0,183.0,145.0,4,3.0,2.0,2140000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
113,3.3,-37.8416,144.9488,,162.0,,2,2.0,1.0,1750000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
114,3.3,-37.8387,144.9519,1890.0,79.0,68.0,2,2.0,1.0,980000.0,Port Phillip,Southern Metropolitan,Other,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
115,3.3,-37.8488,144.9551,,152.0,,3,3.0,2.0,2030000.0,Port Phillip,Southern Metropolitan,hockingstuart,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
116,3.3,-37.8448,144.9453,1890.0,147.0,134.0,3,3.0,2.0,1740000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
117,3.3,-37.8399,144.9577,,0.0,,3,3.0,3.0,2800000.0,Port Phillip,Southern Metropolitan,Buxton,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
118,3.3,-37.8411,144.9497,1900.0,81.0,54.0,1,1.0,1.0,985000.0,Port Phillip,Southern Metropolitan,Marshall,h,3206,3206.0,229.41803278688525,122.0,1187.4,3734.0,2476.0,20.295081967213115,60.0,100.0,96.36082474226804
119,6.4,-37.7707,145.0318,1930.0,853.0,263.0,4,3.0,2.0,2000000.0,Darebin,Northern Metropolitan,Other,h,3078,,,,,,,,,,
120,6.4,-37.7854,145.0325,2013.0,208.0,,3,3.0,2.0,1110000.0,Yarra,Northern Metropolitan,Jellis,h,3078,,,,,,,,,,
121,6.4,-37.7713,145.0279,,411.0,,3,3.0,2.0,1492000.0,Darebin,Northern Metropolitan,Jellis,h,3078,,,,,,,,,,
122,6.4,-37.7717,145.031,1925.0,599.0,203.0,4,4.0,2.0,1717500.0,Darebin,Northern Metropolitan,Other,h,3078,,,,,,,,,,
