name,nationality,age,height,pos_gral,position,preferred_foot,weak_foot,att_work_rate,def_work_rate,overall,potential,crossing,finishing,heading,short_passing,volleys,marking,standing_tackle,sliding_tackle,acceleration,sprint,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,dribbling,curve,fk_acc,long_passing,ball_control,aggression,interceptions,positioning,vision,penalties,composure,diving,handling,kicking_gk,positioning_gk,reflexes,speed_gk,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,ldm,cdm,rdm,lwb,rwb,lb,lcb,cb,rcb,rb,gk
G. Reiten,Norway,27,167,med,LM,0,3,1.0,0.5,87,87,94,82,50,85,61,60,67,66,88,91,93,89,89,81,65,92,50,78,81,74,80,79,86,58,72,84,86,66,85.0,16,16,12,11,16,,82,82,82,86,84,84,84,86,87,87,87,87,86,86,86,87,78,78,78,84,84,81,69,69,69,81,26
A. Lawrence,Canada,27,164,def,RB,1,4,1.0,0.5,87,88,86,62,73,86,66,84,87,83,88,88,85,87,87,79,77,88,72,76,81,78,70,81,85,80,84,73,82,75,83.0,14,10,11,9,14,,79,79,79,81,80,80,80,81,84,84,84,86,86,86,86,86,87,87,87,88,88,88,85,85,85,88,23
L. Magull,Germany,27,166,med,CM,1,3,1.0,0.5,87,87,73,75,56,93,76,45,66,48,88,84,92,89,89,70,64,85,60,79,88,78,78,85,93,65,76,85,90,72,75.0,8,13,15,7,15,,82,82,82,86,86,86,86,86,87,87,87,87,87,87,87,87,79,79,79,79,79,76,68,68,68,76,23
G. Geyoro,France,24,168,med,CM,1,3,1.0,1.0,87,91,69,73,64,89,52,81,90,83,82,74,73,88,79,69,58,93,75,71,82,68,48,89,88,71,87,82,85,52,79.0,13,16,16,14,11,,80,80,80,81,81,81,81,81,86,86,86,86,90,90,90,86,89,89,89,87,87,86,84,84,84,86,25
M. Bright,England,28,178,def,CB,1,4,0.0,1.0,87,88,50,49,89,88,35,90,85,81,51,65,34,89,37,63,90,78,92,46,59,51,52,86,83,91,87,38,57,59,85.0,11,12,12,8,16,,68,68,68,62,64,64,64,62,69,69,69,69,78,78,78,69,88,88,88,80,80,82,88,88,88,82,23
L. Oberdorf,Germany,20,174,med,CDM,1,3,0.5,0.5,87,93,58,53,73,85,57,86,90,92,71,70,71,87,78,75,79,80,83,60,71,59,55,81,84,91,87,72,85,53,81.0,14,14,9,11,11,,75,75,75,73,75,75,75,73,80,80,80,78,84,84,84,78,89,89,89,84,84,85,89,89,89,85,24
L. Hemp,England,21,164,del,LW,0,3,1.0,1.0,87,93,94,85,63,84,69,56,69,57,92,92,91,88,90,83,77,88,60,71,92,86,80,75,86,59,69,83,83,68,70.0,7,6,11,12,8,,85,85,85,87,85,85,85,87,88,88,88,90,85,85,85,90,77,77,77,82,82,79,70,70,70,79,20
S. Smith,United States,21,164,del,ST,1,4,1.0,0.5,87,94,73,86,81,86,80,41,42,39,94,95,89,89,86,84,56,93,82,83,88,74,60,75,91,68,43,89,74,67,68.0,12,13,13,13,6,,89,89,89,87,87,87,87,87,88,88,88,88,82,82,82,88,69,69,69,72,72,69,61,61,61,69,22
B. Sauerbrunn,United States,37,170,def,CB,1,3,0.5,1.0,86,86,51,39,86,71,37,92,87,89,69,67,60,79,63,47,86,73,91,47,65,54,38,63,74,78,88,50,61,56,82.0,15,12,7,10,11,,64,64,64,62,62,62,62,62,67,67,67,67,71,71,71,67,82,82,82,79,79,81,86,86,86,81,22
C. Press,United States,33,168,del,ST,1,3,1.0,0.0,86,86,75,88,84,86,80,42,42,38,87,89,90,84,64,86,80,86,73,87,84,78,62,75,90,62,43,87,71,82,80.0,15,14,9,11,11,,86,86,86,85,85,85,85,85,86,86,86,86,82,82,82,86,68,68,68,71,71,68,62,62,62,68,23
M. Rapinoe,United States,36,165,del,LW,1,4,1.0,0.5,86,86,89,89,72,87,70,41,45,39,78,79,80,84,79,84,63,70,75,85,88,91,88,78,90,67,47,90,80,92,91.0,15,12,14,14,11,,86,86,86,86,86,86,86,86,86,86,86,86,83,83,83,86,69,69,69,71,71,67,61,61,61,67,24
F. Rolfö,Sweden,28,178,del,LW,0,4,1.0,1.0,86,86,81,87,79,88,81,65,66,65,84,84,77,86,73,85,80,80,90,84,87,74,63,75,89,50,65,84,86,77,81.0,7,11,16,14,9,,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,78,78,78,80,80,79,75,75,75,79,22
F. Kirby,England,29,157,med,CAM,1,4,1.0,0.5,86,86,63,89,71,84,88,41,45,39,91,89,91,87,93,87,72,67,54,88,91,48,65,70,90,45,35,90,79,75,82.0,13,9,12,16,16,,86,86,86,86,86,86,86,86,86,86,86,86,81,81,81,86,64,64,64,67,67,65,57,57,57,65,25
S. Huth,Germany,31,163,med,RM,1,5,0.5,0.5,86,86,86,71,32,87,79,40,65,66,88,84,90,88,95,73,75,90,49,72,87,78,67,78,83,42,71,81,86,70,79.0,17,10,7,12,10,,77,77,77,84,81,81,81,84,86,86,86,86,85,85,85,86,75,75,75,81,81,77,63,63,63,77,23
L. Horan,United States,28,175,med,CM,1,3,1.0,0.5,86,86,79,86,89,91,80,59,60,49,80,79,79,89,66,89,79,89,81,88,85,68,83,90,87,63,69,89,88,75,76.0,7,15,13,9,11,,86,86,86,85,86,86,86,85,86,86,86,86,86,86,86,86,80,80,80,79,79,76,73,73,73,76,22
M. Swanson,United States,24,163,del,LW,1,3,1.0,0.5,86,92,84,87,68,85,70,36,41,39,92,93,84,86,88,81,69,89,48,81,85,67,67,77,88,70,43,86,79,75,72.0,12,11,15,16,17,,85,85,85,86,85,85,85,86,88,88,88,89,83,83,83,89,67,67,67,72,72,69,57,57,57,69,25
R. Lavelle,United States,27,163,med,CAM,0,3,0.5,0.5,86,87,69,81,44,91,68,41,48,45,87,88,80,84,85,74,56,79,52,79,90,72,71,86,88,63,48,82,85,61,72.0,16,8,13,11,10,,81,81,81,85,84,84,84,85,87,87,87,87,85,85,85,87,71,71,71,72,72,68,57,57,57,68,22
S. Karchaoui,France,26,160,def,LB,0,4,1.0,0.5,86,89,90,50,61,88,59,81,84,79,93,87,90,84,85,65,62,86,50,55,85,79,67,78,89,70,86,78,73,53,82.0,9,14,16,14,10,,73,73,73,81,78,78,78,81,82,82,82,85,83,83,83,85,84,84,84,88,88,86,78,78,78,86,22
L. Martens,Netherlands,29,170,del,LW,1,4,0.5,0.0,86,86,87,86,57,85,78,47,39,34,80,81,86,84,74,84,69,74,77,84,91,90,80,80,90,66,45,87,85,79,87.0,7,9,13,16,16,,85,85,85,86,86,86,86,86,86,86,86,86,84,84,84,86,69,69,69,71,71,66,59,59,59,66,23
J. Roord,Netherlands,25,175,med,CAM,1,4,1.0,0.5,86,89,78,84,59,87,80,59,46,34,80,78,74,89,70,86,56,76,72,90,85,77,77,84,87,44,57,87,87,74,82.0,11,14,13,9,10,,85,85,85,84,85,85,85,84,89,89,89,87,85,85,85,87,72,72,72,72,72,69,62,62,62,69,23
L. Schüller,Germany,24,173,del,ST,1,3,0.5,0.0,86,91,61,92,86,79,75,24,26,27,89,88,78,89,75,78,68,73,71,79,80,78,60,55,86,55,31,92,68,74,74.0,16,13,14,11,9,,89,89,89,82,84,84,84,82,84,84,84,83,75,75,75,83,58,58,58,62,62,59,53,53,53,59,24
P. Dudek,Poland,25,169,def,CB,0,2,0.5,0.5,86,90,45,44,89,82,39,91,92,87,62,72,61,83,66,59,90,70,76,35,68,62,41,74,76,88,87,49,53,66,73.0,14,11,13,15,14,,66,66,66,63,64,64,64,63,67,67,67,68,73,73,73,68,84,84,84,79,79,81,88,88,88,81,23
M. Zinsberger,Austria,26,177,arq,GK,1,4,0.5,0.5,86,89,33,18,6,23,12,20,13,16,45,39,46,81,62,63,83,22,78,25,11,19,24,15,36,26,10,11,70,52,56.0,88,78,84,88,90,43.0,35,35,35,32,34,34,34,32,37,37,37,35,35,35,35,35,31,31,31,31,31,30,31,31,31,30,88
S. Bacha,France,21,161,def,LB,0,3,1.0,1.0,86,93,93,64,58,88,49,77,83,85,93,84,94,81,87,92,70,93,71,67,80,87,64,77,83,75,81,82,79,49,82.0,14,14,6,9,14,,78,78,78,82,80,80,80,82,83,83,83,85,84,84,84,85,84,84,84,87,87,86,80,80,80,86,22
A. Naeher,United States,34,173,arq,GK,1,3,0.5,0.5,85,85,17,13,16,23,12,18,19,20,43,46,61,76,56,62,66,41,43,14,16,14,15,38,15,28,23,13,14,42,49.0,87,81,83,87,84,44.0,32,32,32,25,26,26,26,25,28,28,28,29,29,29,29,29,31,31,31,32,32,32,30,30,30,32,85
S. Däbritz,Germany,27,171,med,CM,0,5,0.5,0.5,85,86,78,83,52,88,69,77,77,68,84,79,86,82,67,83,55,80,78,86,90,81,75,85,89,53,81,84,87,72,80.0,13,14,16,11,16,,84,84,84,85,85,85,85,85,86,86,86,86,86,86,86,86,83,83,83,83,83,81,76,76,76,81,24
K. Buchanan,Canada,26,170,def,CB,1,3,0.5,0.5,85,88,26,31,81,71,43,92,86,87,68,78,63,75,63,63,93,79,90,45,58,51,56,71,70,85,85,46,47,45,78.0,13,17,9,10,17,,63,63,63,56,59,59,59,56,63,63,63,62,69,69,69,62,82,82,82,76,76,79,88,88,88,79,24
A. Franch,United States,31,173,arq,GK,1,2,0.5,0.5,85,85,17,13,16,23,12,11,19,20,43,46,61,83,59,59,80,44,43,14,16,14,15,38,15,28,23,13,14,42,49.0,82,86,78,84,85,44.0,32,32,32,26,27,27,27,26,28,28,28,30,30,30,30,30,31,31,31,32,32,32,30,30,30,32,85
D. Cascarino,France,25,167,del,RW,1,2,1.0,0.5,85,88,83,72,48,83,70,39,39,32,95,94,93,79,94,80,49,76,55,76,88,75,60,76,89,41,35,83,80,67,79.0,14,16,12,15,11,,79,79,79,85,83,83,83,85,86,86,86,86,79,79,79,86,62,62,62,68,68,63,50,50,50,63,23
R. Daly,England,30,167,del,ST,1,3,0.5,1.0,85,85,79,91,78,80,77,69,68,65,80,78,72,87,67,85,76,81,79,76,84,77,52,66,90,54,45,90,79,85,69.0,12,9,14,9,17,,85,85,85,84,85,85,85,84,85,85,85,85,82,82,82,85,74,74,74,77,77,76,72,72,72,76,23
K. Sheridan,Canada,26,176,arq,GK,1,2,0.5,0.5,85,89,13,10,17,29,11,18,14,13,25,30,46,81,46,61,53,38,70,17,14,13,15,26,17,26,13,7,32,25,33.0,86,82,81,85,86,27.0,30,30,30,23,26,26,26,23,28,28,28,27,29,29,29,27,29,29,29,27,27,26,29,29,29,26,86
P. Harder,Denmark,29,169,med,CAM,1,4,1.0,0.5,85,85,78,79,76,85,73,19,22,23,87,89,84,82,78,77,78,78,81,76,92,70,73,78,89,66,21,87,84,84,90.0,12,6,8,13,6,,85,85,85,85,85,85,85,85,85,85,85,85,81,81,81,85,60,60,60,63,63,58,51,51,51,58,20
A. Schult,Germany,31,180,arq,GK,1,2,0.5,0.5,84,84,11,11,11,25,13,17,10,11,35,42,35,78,40,62,61,30,78,11,9,14,25,24,23,35,13,13,34,20,45.0,84,83,82,86,84,38.0,32,32,32,24,27,27,27,24,29,29,29,28,29,29,29,28,30,30,30,27,27,27,30,30,30,27,84
D. Marozsán,Germany,30,171,med,CAM,1,4,1.0,0.0,84,84,89,78,61,88,88,55,53,51,78,76,80,80,68,89,67,64,79,83,89,92,89,80,89,73,69,80,85,90,86.0,8,10,15,9,12,,83,83,83,84,83,83,83,84,84,84,84,84,84,84,84,84,75,75,75,76,76,72,68,68,68,72,21
C. Dunn,United States,29,155,med,CAM,1,4,1.0,1.0,84,84,83,76,54,86,75,81,80,79,86,86,85,81,92,80,46,84,79,76,84,80,67,82,87,75,79,85,84,80,83.0,12,13,9,8,16,,82,82,82,84,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,80,80,80,84,23
C. Sinclair,Canada,39,175,med,CAM,1,4,0.5,0.5,84,84,77,84,74,86,87,42,35,34,67,68,57,79,62,90,88,77,90,87,85,78,76,84,88,67,49,89,87,86,93.0,17,9,7,12,8,,84,84,84,82,84,84,84,82,84,84,84,84,84,84,84,84,69,69,69,67,67,64,61,61,61,64,22
K. Hendrich,Germany,30,173,def,CB,1,3,0.5,0.5,84,84,62,31,83,85,30,89,86,84,77,84,69,87,61,62,79,87,72,27,66,70,36,75,80,82,86,59,54,56,72.0,13,10,13,9,9,,67,67,67,66,66,66,66,66,70,70,70,74,76,76,76,74,84,84,84,84,84,84,84,84,84,84,22
H. Lindahl,Sweden,39,179,arq,GK,1,3,0.5,0.5,84,84,18,16,14,23,14,29,17,16,47,44,36,84,68,60,72,44,57,15,17,13,17,16,20,24,24,17,60,25,70.0,85,75,80,85,86,46.0,34,34,34,29,32,32,32,29,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,33,84
A. Ilestedt,Sweden,29,178,def,CB,1,3,0.5,0.5,84,85,58,43,85,82,35,88,89,86,64,77,37,79,43,51,90,72,78,36,60,51,52,70,74,83,85,37,46,58,79.0,15,9,9,7,14,,62,62,62,60,60,60,60,60,63,63,63,66,69,69,69,66,82,82,82,79,79,81,85,85,85,81,21
K. Asllani,Sweden,32,166,med,CAM,1,4,0.5,0.5,84,84,72,80,62,84,85,66,28,30,80,79,88,80,89,77,67,71,50,78,89,81,78,78,87,44,45,82,84,88,77.0,12,12,7,11,12,,81,81,81,83,83,83,83,83,84,84,84,84,81,81,81,84,66,66,66,68,68,64,55,55,55,64,22
M. Eriksson,Sweden,28,173,def,CB,0,3,0.5,1.0,84,84,73,40,89,80,47,90,85,80,70,69,72,86,74,56,88,77,78,44,59,61,52,79,80,84,80,58,57,56,84.0,7,17,12,10,9,,68,68,68,66,65,65,65,66,70,70,70,72,75,75,75,72,84,84,84,82,82,83,84,84,84,83,22
E. Le Sommer,France,33,161,del,ST,1,5,0.5,1.0,84,84,79,86,87,83,83,42,40,33,72,73,80,84,82,86,88,70,75,84,87,81,70,69,87,59,33,89,83,85,81.0,17,9,13,12,14,,84,84,84,83,84,84,84,83,84,84,84,84,80,80,80,84,64,64,64,66,66,63,60,60,60,63,24
G. Mbock,France,27,172,def,CB,1,3,1.0,1.0,84,87,59,51,89,81,44,85,90,82,65,74,60,79,53,73,81,78,89,48,61,52,42,78,73,86,80,53,50,65,79.0,7,16,12,12,15,,70,70,70,64,65,65,65,64,68,68,68,70,74,74,74,70,83,83,83,79,79,81,87,87,87,81,23
A. Majri,France,29,164,del,LW,0,3,1.0,1.0,84,84,90,78,74,87,62,84,81,78,82,78,88,83,84,77,76,59,78,70,89,89,84,77,89,79,84,83,81,73,85.0,10,16,12,14,10,,83,83,83,84,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,23
D. Scott,Canada,34,155,med,CDM,1,3,0.5,1.0,84,84,57,42,68,85,28,85,86,74,67,63,63,76,89,69,34,73,86,58,74,45,38,82,80,90,88,56,73,55,80.0,13,17,16,10,15,,67,67,67,67,68,68,68,67,74,74,74,73,80,80,80,73,84,84,84,79,79,79,84,84,84,79,24
D. van de Donk,Netherlands,30,160,med,CAM,1,3,1.0,1.0,84,84,74,78,56,84,69,55,68,61,81,78,86,83,88,74,68,77,63,76,87,79,69,81,88,87,65,83,84,78,84.0,15,9,17,11,10,,81,81,81,83,82,82,82,83,84,84,84,84,84,84,84,84,78,78,78,77,77,74,70,70,70,74,22
J. Campbell,United States,27,173,arq,GK,1,2,0.5,0.5,84,86,17,13,17,22,12,12,18,19,42,44,58,79,55,64,64,45,42,14,16,14,15,37,20,29,22,14,45,42,68.0,84,83,85,85,83,43.0,31,31,31,28,30,30,30,28,32,32,32,31,33,33,33,31,31,31,31,31,31,30,28,28,28,30,85
L. Dallmann,Germany,27,158,med,CAM,1,4,0.5,0.5,84,84,66,80,34,82,69,46,48,44,84,80,93,83,93,74,58,78,50,78,86,75,63,81,88,57,50,81,83,65,76.0,8,13,16,9,13,,78,78,78,82,82,82,82,82,84,84,84,84,82,82,82,84,69,69,69,70,70,66,56,56,56,66,22
K. Walsh,England,25,168,med,CDM,1,3,0.5,1.0,84,90,67,41,66,93,42,85,84,81,66,66,70,84,71,56,70,85,70,42,78,53,51,88,83,72,77,70,85,55,85.0,16,9,10,8,8,,68,68,68,72,72,72,72,72,80,80,80,80,85,85,85,80,86,86,86,83,83,82,82,82,82,82,21
I. Engen,Norway,24,177,med,CDM,1,3,0.5,1.0,84,89,75,73,70,87,65,81,85,83,78,75,70,84,81,73,79,89,83,77,81,70,60,84,85,85,84,78,85,59,84.0,11,14,12,14,8,,80,80,80,80,80,80,80,80,85,85,85,84,87,87,87,84,88,88,88,86,86,85,85,85,85,85,23
G. Stanway,England,23,162,med,CM,1,3,1.0,0.5,84,90,60,79,43,90,68,57,76,58,84,82,82,85,83,75,15,83,48,83,91,67,74,82,84,65,77,79,84,86,69.0,12,8,15,10,8,,79,79,79,82,83,83,83,82,88,88,88,85,87,87,87,85,80,80,80,79,79,76,68,68,68,76,21
C. Mateo,France,24,168,med,RM,1,3,1.0,1.0,84,87,74,85,73,85,79,56,59,48,80,85,77,80,78,81,82,92,66,85,85,75,74,79,86,60,60,87,84,72,84.0,11,11,9,17,16,,84,84,84,83,84,84,84,83,86,86,86,85,84,84,84,85,73,73,73,75,75,72,66,66,66,72,23
C. Weir,Scotland,27,172,med,CM,0,3,1.0,1.0,84,85,73,83,60,89,70,75,80,63,68,69,67,83,88,86,52,83,51,85,85,78,80,82,84,62,76,84,86,61,85.0,13,14,8,8,15,,82,82,82,81,83,83,83,81,85,85,85,84,85,85,85,84,82,82,82,80,80,78,74,74,74,78,23
P. Peyraud-Magnin,France,30,175,arq,GK,0,2,0.5,0.5,84,85,13,11,11,29,9,15,14,15,51,40,58,81,44,63,52,35,43,11,15,17,15,25,22,24,19,10,31,12,38.0,82,83,84,83,85,47.0,31,31,31,27,29,29,29,27,30,30,30,30,30,30,30,30,29,29,29,29,29,29,26,26,26,29,85
L. Williamson,England,25,170,def,CB,1,3,1.0,0.5,84,89,60,51,81,88,45,90,84,82,79,79,68,90,73,48,89,70,77,46,61,60,67,92,83,80,86,31,63,50,82.0,13,13,11,9,8,,67,67,67,67,65,65,65,67,72,72,72,73,79,79,79,73,87,87,87,83,83,84,87,87,87,84,22
C. Nnadozie,Nigeria,21,180,arq,GK,1,3,0.5,0.5,84,89,12,11,12,29,7,21,13,10,39,52,48,79,42,59,71,36,61,9,17,14,13,22,21,35,22,11,53,13,38.0,85,79,79,85,88,44.0,31,31,31,28,30,30,30,28,33,33,33,31,32,32,32,31,31,31,31,30,30,29,30,30,30,29,85
M. Earps,England,29,173,arq,GK,1,3,0.5,0.5,84,86,13,10,7,31,12,11,15,14,35,27,29,82,40,62,62,38,63,13,12,14,12,29,20,31,14,10,68,26,35.0,83,82,82,83,83,32.0,30,30,30,26,30,30,30,26,34,34,34,31,36,36,36,31,33,33,33,28,28,27,28,28,28,27,86
M. Frohms,Germany,27,175,arq,GK,1,3,0.5,0.5,84,87,9,8,10,28,7,6,9,11,40,57,61,80,44,57,79,29,71,7,8,11,10,29,20,20,18,7,31,18,44.0,85,81,76,85,84,47.0,31,31,31,25,26,26,26,25,29,29,29,29,29,29,29,29,29,29,29,28,28,27,28,28,28,27,86
Ona Batlle,Spain,23,165,def,RB,1,4,1.0,1.0,84,91,80,51,65,90,46,84,85,83,85,80,84,81,85,53,74,90,62,40,80,77,47,74,76,72,82,60,64,47,68.0,13,8,15,14,5,,69,69,69,74,70,70,70,74,76,76,76,80,79,79,79,80,84,84,84,86,86,85,81,81,81,85,21
A. Berger,Germany,31,180,arq,GK,1,3,0.5,0.5,84,84,8,7,15,24,6,9,10,10,37,49,38,82,40,60,60,29,67,6,11,12,11,20,14,19,10,9,39,35,58.0,85,83,80,81,82,42.0,30,30,30,23,26,26,26,23,28,28,28,28,28,28,28,28,26,26,26,26,26,26,26,26,26,26,84
L. Freigang,Germany,24,171,del,ST,1,3,0.5,0.5,84,87,38,88,81,76,81,21,21,17,82,83,66,85,78,82,76,75,71,83,79,62,61,51,86,46,20,89,50,70,81.0,8,10,13,5,14,,86,86,86,77,81,81,81,77,78,78,78,76,69,69,69,76,52,52,52,54,54,51,47,47,47,51,20
T. Waßmuth,Germany,25,170,med,RM,1,4,0.5,0.5,84,85,80,76,59,87,72,28,24,20,85,83,76,87,72,84,40,78,67,83,80,69,60,68,86,65,22,86,86,70,76.0,6,10,9,6,12,,83,83,83,83,83,83,83,83,85,85,85,85,79,79,79,85,60,60,60,63,63,58,48,48,48,58,20
Catarina Macario,United States,22,165,med,CAM,1,3,1.0,0.5,84,92,79,83,72,81,74,55,59,47,84,81,83,78,84,82,68,79,71,89,90,90,82,74,93,70,59,80,83,80,86.0,12,7,14,7,13,,85,85,85,85,84,84,84,85,87,87,87,86,83,83,83,86,74,74,74,75,75,72,68,68,68,72,20
K. McCabe,Republic of Ireland,26,164,def,LB,0,3,1.0,0.5,84,85,87,69,74,84,69,86,79,75,84,82,84,78,85,66,80,92,73,66,78,78,75,79,80,95,81,79,68,74,84.0,8,14,13,13,6,,78,78,78,79,77,77,77,79,80,80,80,83,82,82,82,83,84,84,84,85,85,85,83,83,83,85,21
A. Neville,England,29,171,def,RB,1,3,1.0,1.0,84,84,81,74,83,72,68,86,86,84,79,79,68,76,74,69,91,81,84,65,80,69,69,62,77,80,86,80,68,59,81.0,5,9,15,13,12,,79,79,79,76,76,76,76,76,76,76,76,78,76,76,76,78,81,81,81,83,83,84,84,84,84,84,19
K. O'Hara,United States,33,165,def,LB,1,3,0.5,1.0,83,83,81,54,78,79,58,82,80,84,86,87,80,74,79,73,69,79,76,64,72,59,40,71,78,62,79,53,58,58,86.0,14,11,15,12,8,,72,72,72,72,69,69,69,72,73,73,73,76,75,75,75,76,80,80,80,83,83,83,81,81,81,83,21
S. Mewis,United States,29,177,med,CM,1,4,1.0,0.5,83,83,66,75,77,86,63,76,78,67,59,61,59,82,58,81,89,83,89,80,79,64,57,83,86,71,79,79,83,76,83.0,12,17,17,15,12,,81,81,81,76,79,79,79,76,83,83,83,81,83,83,83,81,83,83,83,79,79,78,81,81,81,78,25
S. Jakobsson,Sweden,32,174,med,RM,1,3,0.5,0.5,83,83,84,85,69,81,81,63,40,41,85,87,67,76,57,72,46,86,71,75,83,76,58,76,84,54,58,83,75,74,77.0,9,10,10,7,10,,83,83,83,82,81,81,81,82,83,83,83,83,80,80,80,83,70,70,70,74,74,70,62,62,62,70,19
C. Seger,Sweden,37,176,med,CM,1,3,0.5,0.5,83,83,68,77,86,89,73,82,79,80,47,51,69,84,56,81,60,77,77,77,79,67,64,89,82,80,84,77,84,69,87.0,15,8,14,17,12,,81,81,81,75,78,78,78,75,83,83,83,79,83,83,83,79,83,83,83,80,80,80,83,83,83,80,24
